WORD,A,ADV,C,D,N,P,PRO,V,TOTAL
the,0,0,0,0,3,69968,0,0,69971
fulton,0,0,0,0,17,0,0,0,17
county,0,0,0,0,155,0,0,0,155
grand,48,0,0,0,0,0,0,0,48
jury,0,0,0,0,67,0,0,0,67
said,0,0,0,0,0,0,0,1961,1961
friday,0,0,0,0,60,0,0,0,60
an,0,0,12,0,2,3726,0,0,3740
investigation,0,0,0,0,51,0,0,0,51
of,0,0,0,0,2,36197,0,0,36199
atlanta's,0,0,0,0,4,0,0,0,4
recent,179,0,0,0,0,0,0,0,179
primary,81,0,0,0,15,0,0,0,96
election,0,0,0,0,77,0,0,0,77
produced,0,0,0,0,0,0,0,90,90
no,0,320,0,0,0,1819,0,0,2139
evidence,0,0,0,0,203,0,0,1,204
that,0,56,6466,2272,1,0,1798,0,10593
any,0,13,0,1331,0,0,0,0,1344
irregularities,0,0,0,0,8,0,0,0,8
took,0,0,0,0,0,0,0,426,426
place,0,0,0,0,496,0,0,74,570
further,74,104,0,0,0,32,0,8,218
in,0,466,0,0,4,20798,0,0,21268
term-end,0,0,0,0,1,0,0,0,1
presentments,0,0,0,0,1,0,0,0,1
city,0,0,0,0,393,0,0,0,393
executive,15,0,0,0,40,0,0,0,55
committee,0,0,0,0,168,0,0,0,168
which,0,0,0,3559,1,0,0,0,3560
had,0,0,0,0,1,0,0,5132,5133
over-all,35,0,0,0,0,0,0,0,35
charge,0,0,0,0,107,0,0,15,122
deserves,0,0,0,0,0,0,0,16,16
praise,0,0,0,0,13,0,0,4,17
and,0,0,28746,0,3,0,0,0,28749
thanks,0,0,0,0,37,0,0,0,37
atlanta,0,0,0,0,35,0,0,0,35
for,0,5,494,0,3,8936,0,0,9438
manner,0,0,0,0,124,0,0,0,124
was,0,0,0,0,0,0,0,9815,9815
conducted,0,0,0,0,0,0,0,55,55
september-october,0,0,0,0,1,0,0,0,1
term,0,0,0,0,76,0,0,3,79
been,0,0,0,0,0,0,0,2472,2472
charged,0,0,0,0,0,0,0,57,57
by,0,61,0,0,1,5227,0,0,5289
superior,45,0,0,0,1,0,0,0,46
court,0,0,0,0,228,0,0,2,230
judge,0,0,0,0,60,0,0,17,77
durwood,0,0,0,0,1,0,0,0,1
pye,0,0,0,0,1,0,0,0,1
investigate,0,0,0,0,0,0,0,11,11
reports,0,0,0,0,70,0,0,14,84
possible,374,0,0,0,0,0,0,0,374
hard-fought,2,0,0,0,0,0,0,0,2
won,0,0,0,0,0,0,0,68,68
mayor-nominate,0,0,0,0,1,0,0,0,1
ivan,0,0,0,0,4,0,0,0,4
allen,0,0,0,0,20,0,0,0,20
jr.,0,0,0,0,75,0,0,0,75
only,5,1378,0,0,0,365,0,0,1748
a,0,0,0,0,119,23076,0,0,23195
relative,45,0,0,0,1,0,0,0,46
handful,0,0,0,0,13,0,0,0,13
such,978,15,0,0,0,310,0,0,1303
received,0,0,0,0,0,0,0,163,163
considering,0,0,0,0,0,23,0,24,47
widespread,29,1,0,0,0,0,0,0,30
interest,0,0,0,0,327,0,0,3,330
number,0,0,0,0,470,0,0,2,472
voters,0,0,0,0,20,0,0,0,20
size,0,0,0,0,136,0,0,2,138
this,0,1,0,5144,0,0,0,0,5145
it,0,0,0,0,0,0,8759,0,8759
did,0,0,0,0,0,0,0,1044,1044
find,0,0,0,0,3,0,0,397,400
many,0,8,0,0,1,1021,0,0,1030
georgia's,0,0,0,0,9,0,0,0,9
registration,0,0,0,0,23,0,0,0,23
laws,0,0,0,0,88,0,0,0,88
are,0,0,0,0,0,0,0,4394,4394
outmoded,4,0,0,0,0,0,0,0,4
or,0,0,4193,0,1,0,0,0,4194
inadequate,32,0,0,0,0,0,0,0,32
often,0,369,0,0,0,0,0,0,369
ambiguous,22,0,0,0,0,0,0,0,22
recommended,0,0,0,0,0,0,0,46,46
legislators,0,0,0,0,20,0,0,0,20
act,0,0,0,0,209,0,0,74,283
have,0,0,0,0,0,0,0,3942,3942
these,0,0,0,1573,0,0,0,0,1573
studied,0,0,0,0,0,0,0,79,79
revised,0,0,0,0,0,0,0,16,16
to,0,1,0,0,4,11090,0,0,11095
end,0,0,0,0,369,0,0,40,409
modernizing,0,0,0,0,1,0,0,3,4
improving,0,0,0,0,0,0,0,16,16
them,0,0,0,12,1,0,1775,0,1788
commented,0,0,0,0,0,0,0,18,18
on,0,557,0,0,2,6158,0,0,6717
other,0,0,0,0,0,1702,0,0,1702
topics,0,0,0,0,10,0,0,0,10
among,0,0,0,0,1,369,0,0,370
purchasing,0,0,0,0,2,0,0,15,17
departments,0,0,0,0,25,0,0,0,25
well,15,722,0,0,17,0,0,4,758
operated,0,0,0,0,0,0,0,27,27
follow,0,0,0,0,0,0,0,97,97
generally,0,132,0,0,0,0,0,0,132
accepted,0,0,0,0,0,0,0,96,96
practices,0,0,0,0,52,0,0,1,53
inure,0,0,0,0,0,0,0,2,2
best,292,54,0,0,4,0,0,1,351
both,0,0,0,0,0,730,0,0,730
governments,0,0,0,0,61,0,0,0,61
merger,0,0,0,0,21,0,0,0,21
proposed,0,0,0,0,0,0,0,84,84
however,0,519,0,0,0,0,0,0,519
believes,0,0,0,0,0,0,0,43,43
two,1406,0,0,0,0,0,0,0,1406
offices,0,0,0,0,45,0,0,0,45
should,0,0,0,0,0,0,0,885,885
be,0,0,0,0,2,0,0,6374,6376
combined,0,0,0,0,0,0,0,40,40
achieve,0,0,0,0,0,0,0,51,51
greater,188,0,0,0,0,0,0,0,188
efficiency,0,0,0,0,50,0,0,0,50
reduce,0,0,0,0,0,0,0,62,62
cost,0,0,0,0,185,0,0,44,229
administration,0,0,0,0,161,0,0,0,161
department,0,0,0,0,225,0,0,0,225
is,0,0,0,0,1,0,0,10108,10109
lacking,0,0,0,0,0,0,0,32,32
experienced,1,0,0,0,0,0,0,52,53
clerical,9,0,0,0,0,0,0,0,9
personnel,1,0,0,0,74,0,0,0,75
as,0,1104,6020,0,1,121,0,0,7246
result,0,0,0,0,197,0,0,47,244
policies,0,0,0,0,68,0,0,0,68
urged,0,0,0,0,0,0,0,35,35
take,0,0,0,0,4,0,0,606,610
steps,0,0,0,0,118,0,0,1,119
remedy,0,0,0,0,10,0,0,3,13
problem,0,0,0,0,313,0,0,0,313
implementation,0,0,0,0,8,0,0,0,8
automobile,0,0,0,0,50,0,0,0,50
title,0,0,0,0,77,0,0,0,77
law,0,0,0,0,299,0,0,0,299
also,0,1069,0,0,0,0,0,0,1069
outgoing,8,0,0,0,0,0,0,0,8
next,0,48,0,0,0,346,0,0,394
legislature,0,0,0,0,39,0,0,0,39
provide,0,0,0,0,0,0,0,216,216
enabling,0,0,0,0,0,0,0,13,13
funds,0,0,0,0,95,0,0,0,95
re-set,0,0,0,0,0,0,0,1,1
effective,129,0,0,0,0,0,0,0,129
date,0,0,0,0,98,0,0,5,103
so,0,1505,479,0,0,0,0,0,1984
orderly,19,0,0,0,1,0,0,0,20
may,0,0,0,0,100,0,0,1300,1400
effected,0,0,0,0,0,0,0,12,12
swipe,0,0,0,0,2,0,0,0,2
at,0,0,0,0,0,5364,0,0,5364
state,0,0,0,0,787,0,0,20,807
welfare,0,0,0,0,53,0,0,0,53
department's,0,0,0,0,17,0,0,0,17
handling,0,0,0,0,23,0,0,15,38
federal,246,0,0,0,0,0,0,0,246
granted,0,0,0,0,0,0,0,56,56
child,0,0,0,0,213,0,0,0,213
services,0,0,0,0,138,0,0,1,139
foster,2,0,0,0,10,0,0,3,15
homes,0,0,0,0,62,0,0,0,62
one,2728,0,0,2,0,0,558,0,3288
major,224,0,0,0,22,0,0,1,247
items,0,0,0,0,72,0,0,0,72
general,375,0,0,0,123,0,0,0,498
assistance,0,0,0,0,87,0,0,0,87
program,0,0,0,0,389,0,0,5,394
but,0,26,4221,0,0,131,0,0,4378
has,0,0,0,0,1,0,0,2436,2437
seen,0,0,0,0,0,0,0,279,279
fit,9,0,0,0,15,0,0,51,75
distribute,0,0,0,0,0,0,0,6,6
through,0,61,0,0,0,908,0,0,969
all,0,243,0,0,0,2758,0,0,3001
counties,0,0,0,0,35,0,0,0,35
with,0,3,0,0,0,7274,0,0,7277
exception,0,0,0,0,40,0,0,0,40
receives,0,0,0,0,0,0,0,20,20
none,0,0,0,0,0,0,108,0,108
money,0,0,0,0,265,0,0,0,265
jurors,0,0,0,0,4,0,0,0,4
they,0,0,0,0,0,0,3620,0,3620
realize,0,0,0,0,0,0,0,69,69
proportionate,9,0,0,0,0,0,0,0,9
distribution,0,0,0,0,85,0,0,0,85
might,0,0,0,0,13,0,0,658,671
disable,0,0,0,0,0,0,0,1,1
our,0,0,0,0,0,0,1252,0,1252
less,0,205,0,0,0,232,0,0,437
populous,5,0,0,0,0,0,0,0,5
nevertheless,0,73,0,0,0,0,0,0,73
we,0,0,0,0,0,0,2652,0,2652
feel,0,0,0,0,15,0,0,201,216
future,89,0,0,0,138,0,0,0,227
receive,0,0,0,0,0,0,0,76,76
some,0,24,0,1594,0,0,0,0,1618
portion,0,0,0,0,62,0,0,0,62
available,245,0,0,0,0,0,0,0,245
failure,0,0,0,0,89,0,0,0,89
do,0,0,0,0,2,0,0,1361,1363
will,0,0,0,0,108,0,0,2131,2239
continue,0,0,0,0,0,0,0,107,107
disproportionate,2,0,0,0,0,0,0,0,2
burden,0,0,0,0,43,0,0,1,44
taxpayers,0,0,0,0,21,0,0,0,21
ordinary's,0,0,0,0,1,0,0,0,1
under,5,14,0,0,0,687,0,0,706
fire,0,0,0,0,176,0,0,11,187
its,0,0,0,0,0,0,1858,0,1858
appointment,0,0,0,0,28,0,0,0,28
appraisers,0,0,0,0,1,0,0,0,1
guardians,0,0,0,0,4,0,0,0,4
administrators,0,0,0,0,5,0,0,0,5
awarding,0,0,0,0,1,0,0,2,3
fees,0,0,0,0,29,0,0,0,29
compensation,0,0,0,0,17,0,0,0,17
wards,0,0,0,0,3,0,0,0,3
protected,0,0,0,0,0,0,0,31,31
found,0,0,0,0,0,0,0,536,536
incorporated,0,0,0,0,0,0,0,13,13
into,0,0,0,0,3,1783,0,0,1786
operating,0,0,0,0,0,0,0,87,87
procedures,0,0,0,0,61,0,0,0,61
recommendations,0,0,0,0,22,0,0,0,22
previous,76,2,0,0,0,8,0,0,86
juries,0,0,0,0,1,0,0,0,1
bar,0,0,0,0,79,0,0,3,82
association,0,0,0,0,132,0,0,0,132
interim,6,0,0,0,5,0,0,0,11
citizens,0,0,0,0,86,0,0,0,86
actions,0,0,0,0,68,0,0,0,68
serve,0,0,0,0,0,0,0,107,107
protect,0,0,0,0,0,0,0,34,34
fact,0,0,0,0,447,0,0,0,447
effect,0,0,0,0,197,0,0,16,213
court's,0,0,0,0,8,0,0,0,8
from,0,0,0,0,0,4350,0,0,4350
undue,13,0,0,0,0,0,0,0,13
costs,0,0,0,0,164,0,0,12,176
appointed,0,0,0,0,0,0,0,42,42
elected,0,0,0,0,0,0,0,33,33
servants,0,0,0,0,22,0,0,0,22
unmeritorious,1,0,0,0,0,0,0,0,1
criticisms,0,0,0,0,11,0,0,0,11
regarding,0,0,0,0,0,37,0,3,40
new,1635,0,0,0,0,0,0,0,1635
multi-million-dollar,2,0,0,0,0,0,0,0,2
airport,0,0,0,0,19,0,0,0,19
when,0,2326,0,0,0,0,0,0,2326
management,0,0,0,0,91,0,0,0,91
takes,0,0,0,0,0,0,0,86,86
jan.,0,0,0,0,20,0,0,0,20
1,456,0,0,0,1,0,0,0,457
eliminate,0,0,0,0,0,0,0,26,26
political,258,0,0,0,0,0,0,0,258
influences,0,0,0,0,11,0,0,3,14
elaborate,26,0,0,0,0,0,0,6,32
added,0,0,0,0,0,0,0,172,172
there,2163,564,0,0,0,0,0,0,2727
periodic,9,0,0,0,0,0,0,0,9
surveillance,0,0,0,0,6,0,0,0,6
pricing,0,0,0,0,2,0,0,5,7
concessionaires,0,0,0,0,7,0,0,0,7
purpose,0,0,0,0,149,0,0,0,149
keeping,0,0,0,0,3,0,0,57,60
prices,0,0,0,0,61,0,0,0,61
reasonable,64,0,0,0,0,0,0,0,64
ask,0,0,0,0,0,0,0,128,128
jail,0,0,0,0,21,0,0,0,21
deputies,0,0,0,0,13,0,0,0,13
matters,0,0,0,0,59,0,0,5,64
four,356,0,0,0,0,0,0,0,356
additional,120,0,0,0,0,0,0,0,120
employed,0,0,0,0,0,0,0,49,49
doctor,0,0,0,0,100,0,0,0,100
medical,162,0,0,0,0,0,0,0,162
intern,0,0,0,0,2,0,0,0,2
extern,0,0,0,0,1,0,0,0,1
night,0,0,0,0,411,0,0,0,411
weekend,0,0,0,0,27,0,0,0,27
duty,0,0,0,0,61,0,0,0,61
2,373,0,0,0,0,1,0,0,374
work,0,0,0,0,583,0,0,179,762
officials,0,0,0,0,62,0,0,0,62
pass,0,0,0,0,23,0,0,66,89
legislation,0,0,0,0,46,0,0,0,46
permit,0,0,0,0,11,0,0,66,77
establishment,0,0,0,0,52,0,0,0,52
fair,69,2,0,0,7,0,0,0,78
equitable,11,0,0,0,0,0,0,0,11
pension,0,0,0,0,13,0,0,0,13
plan,0,0,0,0,175,0,0,30,205
employes,0,0,0,0,17,0,0,0,17
praised,0,0,0,0,0,0,0,13,13
operation,0,0,0,0,113,0,0,0,113
police,0,0,0,0,155,0,0,0,155
tax,0,0,0,0,196,0,0,5,201
commissioner's,0,0,0,0,1,0,0,0,1
office,0,0,0,0,255,0,0,0,255
bellwood,0,0,0,0,1,0,0,0,1
alpharetta,0,0,0,0,1,0,0,0,1
prison,0,0,0,0,42,0,0,0,42
farms,0,0,0,0,16,0,0,0,16
grady,0,0,0,0,5,0,0,0,5
hospital,0,0,0,0,110,0,0,0,110
health,0,0,0,0,105,0,0,0,105
mayor,0,0,0,0,38,0,0,0,38
william,0,0,0,0,148,0,0,0,148
b.,0,0,0,0,76,0,0,0,76
